PARTICIPANT_ID	TEST_SECTION_ID	SENTENCE	USER_INPUT	KEYSTROKE_ID	PRESS_TIME	RELEASE_TIME	LETTER	KEYCODE
2836	29736	You must therefore take full responsibility for virus checking.	You must therefore take full responsibility for virus checking.	1420607	1471967098191	1471967098534	SHIFT	16
2836	29736	You must therefore take full responsibility for virus checking.	You must therefore take full responsibility for virus checking.	1420613	1471967098479	1471967098594	Y	89
2836	29736	You must therefore take full responsibility for virus checking.	You must therefore take full responsibility for virus checking.	1420620	1471967098653	1471967098780	o	79
2836	29736	You must therefore take full responsibility for virus checking.	You must therefore take full responsibility for virus checking.	1420626	1471967098726	1471967098894	u	85
2836	29736	You must therefore take full responsibility for virus checking.	You must therefore take full responsibility for virus checking.	1420630	1471967098861	1471967098965	 	32
2836	29736	You must therefore take full responsibility for virus checking.	You must therefore take full responsibility for virus checking.	1420634	1471967099118	1471967099198	m	77
2836	29736	You must therefore take full responsibility for virus checking.	You must therefore take full responsibility for virus checking.	1420705	1471967099311	1471967099386	u	85
2836	29736	You must therefore take full responsibility for virus checking.	You must therefore take full responsibility for virus checking.	1420707	1471967099382	1471967099515	s	83
2836	29736	You must therefore take full responsibility for virus checking.	You must therefore take full responsibility for virus checking.	1420710	1471967099895	1471967099997	t	84
2836	29736	You must therefore take full responsibility for virus checking.	You must therefore take full responsibility for virus checking.	1420712	1471967100047	1471967100178	 	32
2836	29736	You must therefore take full responsibility for virus checking.	You must therefore take full responsibility for virus checking.	1420715	1471967100180	1471967100290	t	84
2836	29736	You must therefore take full responsibility for virus checking.	You must therefore take full responsibility for virus checking.	1420761	1471967100268	1471967100343	h	72
2836	29736	You must therefore take full responsibility for virus checking.	You must therefore take full responsibility for virus checking.	1420768	1471967100363	1471967100457	e	69
2836	29736	You must therefore take full responsibility for virus checking.	You must therefore take full responsibility for virus checking.	1420777	1471967100460	1471967100593	r	82
2836	29736	You must therefore take full responsibility for virus checking.	You must therefore take full responsibility for virus checking.	1420782	1471967100538	1471967100681	e	69
2836	29736	You must therefore take full responsibility for virus checking.	You must therefore take full responsibility for virus checking.	1420788	1471967100872	1471967100978	f	70
2836	29736	You must therefore take full responsibility for virus checking.	You must therefore take full responsibility for virus checking.	1420827	1471967100934	1471967101048	o	79
2836	29736	You must therefore take full responsibility for virus checking.	You must therefore take full responsibility for virus checking.	1420837	1471967101099	1471967101200	r	82
2836	29736	You must therefore take full responsibility for virus checking.	You must therefore take full responsibility for virus checking.	1420845	1471967101178	1471967101293	e	69
2836	29736	You must therefore take full responsibility for virus checking.	You must therefore take full responsibility for virus checking.	1420854	1471967101271	1471967101365	 	32
2836	29736	You must therefore take full responsibility for virus checking.	You must therefore take full responsibility for virus checking.	1420864	1471967101395	1471967101457	t	84
2836	29736	You must therefore take full responsibility for virus checking.	You must therefore take full responsibility for virus checking.	1420870	1471967101487	1471967101597	a	65
2836	29736	You must therefore take full responsibility for virus checking.	You must therefore take full responsibility for virus checking.	1420887	1471967101600	1471967101685	k	75
2836	29736	You must therefore take full responsibility for virus checking.	You must therefore take full responsibility for virus checking.	1420888	1471967101705	1471967101831	e	69
2836	29736	You must therefore take full responsibility for virus checking.	You must therefore take full responsibility for virus checking.	1420893	1471967101834	1471967101901	 	32
2836	29736	You must therefore take full responsibility for virus checking.	You must therefore take full responsibility for virus checking.	1420897	1471967101921	1471967102044	f	70
2836	29736	You must therefore take full responsibility for virus checking.	You must therefore take full responsibility for virus checking.	1420903	1471967102047	1471967102116	u	85
2836	29736	You must therefore take full responsibility for virus checking.	You must therefore take full responsibility for virus checking.	1420944	1471967102214	1471967102266	l	76
2836	29736	You must therefore take full responsibility for virus checking.	You must therefore take full responsibility for virus checking.	1420951	1471967102358	1471967102453	l	76
2836	29736	You must therefore take full responsibility for virus checking.	You must therefore take full responsibility for virus checking.	1420957	1471967102409	1471967102506	 	32
2836	29736	You must therefore take full responsibility for virus checking.	You must therefore take full responsibility for virus checking.	1420964	1471967102484	1471967102609	r	82
2836	29736	You must therefore take full responsibility for virus checking.	You must therefore take full responsibility for virus checking.	1421012	1471967102576	1471967102689	e	69
2836	29736	You must therefore take full responsibility for virus checking.	You must therefore take full responsibility for virus checking.	1421022	1471967102750	1471967102853	s	83
2836	29736	You must therefore take full responsibility for virus checking.	You must therefore take full responsibility for virus checking.	1421027	1471967102856	1471967102978	p	80
2836	29736	You must therefore take full responsibility for virus checking.	You must therefore take full responsibility for virus checking.	1421034	1471967102923	1471967103049	o	79
2836	29736	You must therefore take full responsibility for virus checking.	You must therefore take full responsibility for virus checking.	1421037	1471967103120	1471967103231	n	78
2836	29736	You must therefore take full responsibility for virus checking.	You must therefore take full responsibility for virus checking.	1421042	1471967103281	1471967103378	s	83
2836	29736	You must therefore take full responsibility for virus checking.	You must therefore take full responsibility for virus checking.	1421120	1471967103381	1471967103498	i	73
2836	29736	You must therefore take full responsibility for virus checking.	You must therefore take full responsibility for virus checking.	1421125	1471967103669	1471967103780	b	66
2836	29736	You must therefore take full responsibility for virus checking.	You must therefore take full responsibility for virus checking.	1421133	1471967103850	1471967103952	i	73
2836	29736	You must therefore take full responsibility for virus checking.	You must therefore take full responsibility for virus checking.	1421142	1471967104062	1471967104180	l	76
2836	29736	You must therefore take full responsibility for virus checking.	You must therefore take full responsibility for virus checking.	1421198	1471967104136	1471967104270	i	73
2836	29736	You must therefore take full responsibility for virus checking.	You must therefore take full responsibility for virus checking.	1421206	1471967104382	1471967104474	t	84
2836	29736	You must therefore take full responsibility for virus checking.	You must therefore take full responsibility for virus checking.	1421213	1471967104504	1471967104640	y	89
2836	29736	You must therefore take full responsibility for virus checking.	You must therefore take full responsibility for virus checking.	1421220	1471967104636	1471967104748	 	32
2836	29736	You must therefore take full responsibility for virus checking.	You must therefore take full responsibility for virus checking.	1421225	1471967104779	1471967104871	f	70
2836	29736	You must therefore take full responsibility for virus checking.	You must therefore take full responsibility for virus checking.	1421231	1471967104874	1471967104943	o	79
2836	29736	You must therefore take full responsibility for virus checking.	You must therefore take full responsibility for virus checking.	1421334	1471967104963	1471967105044	r	82
2836	29736	You must therefore take full responsibility for virus checking.	You must therefore take full responsibility for virus checking.	1421343	1471967105074	1471967105166	 	32
2836	29736	You must therefore take full responsibility for virus checking.	You must therefore take full responsibility for virus checking.	1421354	1471967105567	1471967105638	v	86
2836	29736	You must therefore take full responsibility for virus checking.	You must therefore take full responsibility for virus checking.	1421365	1471967105668	1471967105775	i	73
2836	29736	You must therefore take full responsibility for virus checking.	You must therefore take full responsibility for virus checking.	1421373	1471967105846	1471967105918	r	82
2836	29736	You must therefore take full responsibility for virus checking.	You must therefore take full responsibility for virus checking.	1421414	1471967105950	1471967106033	u	85
2836	29736	You must therefore take full responsibility for virus checking.	You must therefore take full responsibility for virus checking.	1421417	1471967106030	1471967106134	s	83
2836	29736	You must therefore take full responsibility for virus checking.	You must therefore take full responsibility for virus checking.	1421422	1471967106215	1471967106298	 	32
2836	29736	You must therefore take full responsibility for virus checking.	You must therefore take full responsibility for virus checking.	1421425	1471967106401	1471967106493	c	67
2836	29736	You must therefore take full responsibility for virus checking.	You must therefore take full responsibility for virus checking.	1421433	1471967106496	1471967106554	h	72
2836	29736	You must therefore take full responsibility for virus checking.	You must therefore take full responsibility for virus checking.	1421475	1471967106604	1471967106665	e	69
2836	29736	You must therefore take full responsibility for virus checking.	You must therefore take full responsibility for virus checking.	1421482	1471967106785	1471967106891	c	67
2836	29736	You must therefore take full responsibility for virus checking.	You must therefore take full responsibility for virus checking.	1421486	1471967106869	1471967106941	k	75
2836	29736	You must therefore take full responsibility for virus checking.	You must therefore take full responsibility for virus checking.	1421489	1471967107021	1471967107181	i	73
2836	29736	You must therefore take full responsibility for virus checking.	You must therefore take full responsibility for virus checking.	1421577	1471967107093	1471967107215	n	78
2836	29736	You must therefore take full responsibility for virus checking.	You must therefore take full responsibility for virus checking.	1421582	1471967107211	1471967107281	g	71
2836	29736	You must therefore take full responsibility for virus checking.	You must therefore take full responsibility for virus checking.	1421589	1471967107782	1471967107864	.	190
2836	29760	I will bring the pillow back tomorrow and get with you then.	I will bring the pillow back tomorrow and get with you then.	1421910	1471967110026	1471967110289	SHIFT	16
2836	29760	I will bring the pillow back tomorrow and get with you then.	I will bring the pillow back tomorrow and get with you then.	1421915	1471967110218	1471967110352	I	73
2836	29760	I will bring the pillow back tomorrow and get with you then.	I will bring the pillow back tomorrow and get with you then.	1421924	1471967110319	1471967110425	 	32
2836	29760	I will bring the pillow back tomorrow and get with you then.	I will bring the pillow back tomorrow and get with you then.	1421933	1471967110476	1471967110578	w	87
2836	29760	I will bring the pillow back tomorrow and get with you then.	I will bring the pillow back tomorrow and get with you then.	1421938	1471967110581	1471967110659	i	73
2836	29760	I will bring the pillow back tomorrow and get with you then.	I will bring the pillow back tomorrow and get with you then.	1421944	1471967110749	1471967110799	l	76
2836	29760	I will bring the pillow back tomorrow and get with you then.	I will bring the pillow back tomorrow and get with you then.	1421948	1471967110869	1471967111004	l	76
2836	29760	I will bring the pillow back tomorrow and get with you then.	I will bring the pillow back tomorrow and get with you then.	1421953	1471967110971	1471967111074	 	32
2836	29760	I will bring the pillow back tomorrow and get with you then.	I will bring the pillow back tomorrow and get with you then.	1421957	1471967111246	1471967111347	b	66
2836	29760	I will bring the pillow back tomorrow and get with you then.	I will bring the pillow back tomorrow and get with you then.	1421960	1471967111429	1471967111561	r	82
2836	29760	I will bring the pillow back tomorrow and get with you then.	I will bring the pillow back tomorrow and get with you then.	1421963	1471967111611	1471967111716	i	73
2836	29760	I will bring the pillow back tomorrow and get with you then.	I will bring the pillow back tomorrow and get with you then.	1422032	1471967111673	1471967111787	n	78
2836	29760	I will bring the pillow back tomorrow and get with you then.	I will bring the pillow back tomorrow and get with you then.	1422038	1471967112248	1471967112319	g	71
2836	29760	I will bring the pillow back tomorrow and get with you then.	I will bring the pillow back tomorrow and get with you then.	1422045	1471967112347	1471967112441	 	32
2836	29760	I will bring the pillow back tomorrow and get with you then.	I will bring the pillow back tomorrow and get with you then.	1422051	1471967112471	1471967112553	t	84
2836	29760	I will bring the pillow back tomorrow and get with you then.	I will bring the pillow back tomorrow and get with you then.	1422057	1471967112556	1471967112627	h	72
2836	29760	I will bring the pillow back tomorrow and get with you then.	I will bring the pillow back tomorrow and get with you then.	1422157	1471967112624	1471967112740	e	69
2836	29760	I will bring the pillow back tomorrow and get with you then.	I will bring the pillow back tomorrow and get with you then.	1422159	1471967112707	1471967112811	 	32
2836	29760	I will bring the pillow back tomorrow and get with you then.	I will bring the pillow back tomorrow and get with you then.	1422167	1471967112850	1471967112953	f	70
2836	29760	I will bring the pillow back tomorrow and get with you then.	I will bring the pillow back tomorrow and get with you then.	1422174	1471967112955	1471967113023	i	73
2836	29760	I will bring the pillow back tomorrow and get with you then.	I will bring the pillow back tomorrow and get with you then.	1422184	1471967113245	1471967113346	BKSP	8
2836	29760	I will bring the pillow back tomorrow and get with you then.	I will bring the pillow back tomorrow and get with you then.	1422190	1471967113406	1471967113481	BKSP	8
2836	29760	I will bring the pillow back tomorrow and get with you then.	I will bring the pillow back tomorrow and get with you then.	1422198	1471967113591	1471967113683	p	80
2836	29760	I will bring the pillow back tomorrow and get with you then.	I will bring the pillow back tomorrow and get with you then.	1422206	1471967113773	1471967113855	i	73
2836	29760	I will bring the pillow back tomorrow and get with you then.	I will bring the pillow back tomorrow and get with you then.	1422221	1471967113945	1471967114016	l	76
2836	29760	I will bring the pillow back tomorrow and get with you then.	I will bring the pillow back tomorrow and get with you then.	1422224	1471967114077	1471967114138	l	76
2836	29760	I will bring the pillow back tomorrow and get with you then.	I will bring the pillow back tomorrow and get with you then.	1422227	1471967114231	1471967114292	o	79
2836	29760	I will bring the pillow back tomorrow and get with you then.	I will bring the pillow back tomorrow and get with you then.	1422233	1471967114312	1471967114385	w	87
2836	29760	I will bring the pillow back tomorrow and get with you then.	I will bring the pillow back tomorrow and get with you then.	1422237	1471967114388	1471967114478	 	32
2836	29760	I will bring the pillow back tomorrow and get with you then.	I will bring the pillow back tomorrow and get with you then.	1422306	1471967114699	1471967114787	a	65
2836	29760	I will bring the pillow back tomorrow and get with you then.	I will bring the pillow back tomorrow and get with you then.	1422308	1471967115057	1471967115162	BKSP	8
2836	29760	I will bring the pillow back tomorrow and get with you then.	I will bring the pillow back tomorrow and get with you then.	1422311	1471967115159	1471967115241	b	66
2836	29760	I will bring the pillow back tomorrow and get with you then.	I will bring the pillow back tomorrow and get with you then.	1422314	1471967115302	1471967115387	a	65
2836	29760	I will bring the pillow back tomorrow and get with you then.	I will bring the pillow back tomorrow and get with you then.	1422318	1471967115477	1471967115592	c	67
2836	29760	I will bring the pillow back tomorrow and get with you then.	I will bring the pillow back tomorrow and get with you then.	1422322	1471967115595	1471967115738	k	75
2836	29760	I will bring the pillow back tomorrow and get with you then.	I will bring the pillow back tomorrow and get with you then.	1422361	1471967115694	1471967115819	 	32
2836	29760	I will bring the pillow back tomorrow and get with you then.	I will bring the pillow back tomorrow and get with you then.	1422363	1471967115822	1471967115916	t	84
2836	29760	I will bring the pillow back tomorrow and get with you then.	I will bring the pillow back tomorrow and get with you then.	1422366	1471967115919	1471967116061	o	79
2836	29760	I will bring the pillow back tomorrow and get with you then.	I will bring the pillow back tomorrow and get with you then.	1422370	1471967116017	1471967116193	m	77
2836	29760	I will bring the pillow back tomorrow and get with you then.	I will bring the pillow back tomorrow and get with you then.	1422375	1471967116171	1471967116244	o	79
2836	29760	I will bring the pillow back tomorrow and get with you then.	I will bring the pillow back tomorrow and get with you then.	1422378	1471967116379	1471967116461	r	82
2836	29760	I will bring the pillow back tomorrow and get with you then.	I will bring the pillow back tomorrow and get with you then.	1422400	1471967116553	1471967116645	r	82
2836	29760	I will bring the pillow back tomorrow and get with you then.	I will bring the pillow back tomorrow and get with you then.	1422405	1471967116675	1471967116791	o	79
2836	29760	I will bring the pillow back tomorrow and get with you then.	I will bring the pillow back tomorrow and get with you then.	1422412	1471967116787	1471967116878	w	87
2836	29760	I will bring the pillow back tomorrow and get with you then.	I will bring the pillow back tomorrow and get with you then.	1422421	1471967116979	1471967117071	 	32
2836	29760	I will bring the pillow back tomorrow and get with you then.	I will bring the pillow back tomorrow and get with you then.	1422427	1471967117091	1471967117180	a	65
2836	29760	I will bring the pillow back tomorrow and get with you then.	I will bring the pillow back tomorrow and get with you then.	1422459	1471967117183	1471967117264	n	78
2836	29760	I will bring the pillow back tomorrow and get with you then.	I will bring the pillow back tomorrow and get with you then.	1422467	1471967117261	1471967117344	d	68
2836	29760	I will bring the pillow back tomorrow and get with you then.	I will bring the pillow back tomorrow and get with you then.	1422472	1471967117347	1471967117434	 	32
2836	29760	I will bring the pillow back tomorrow and get with you then.	I will bring the pillow back tomorrow and get with you then.	1422476	1471967117437	1471967117541	g	71
2836	29760	I will bring the pillow back tomorrow and get with you then.	I will bring the pillow back tomorrow and get with you then.	1422598	1471967117537	1471967117693	e	69
2836	29760	I will bring the pillow back tomorrow and get with you then.	I will bring the pillow back tomorrow and get with you then.	1422603	1471967117671	1471967117804	r	82
2836	29760	I will bring the pillow back tomorrow and get with you then.	I will bring the pillow back tomorrow and get with you then.	1422610	1471967117912	1471967118024	 	32
2836	29760	I will bring the pillow back tomorrow and get with you then.	I will bring the pillow back tomorrow and get with you then.	1422614	1471967118385	1471967118446	BKSP	8
2836	29760	I will bring the pillow back tomorrow and get with you then.	I will bring the pillow back tomorrow and get with you then.	1422619	1471967118506	1471967118610	BKSP	8
2836	29760	I will bring the pillow back tomorrow and get with you then.	I will bring the pillow back tomorrow and get with you then.	1422624	1471967118660	1471967118752	r	82
2836	29760	I will bring the pillow back tomorrow and get with you then.	I will bring the pillow back tomorrow and get with you then.	1422627	1471967119011	1471967119073	BKSP	8
2836	29760	I will bring the pillow back tomorrow and get with you then.	I will bring the pillow back tomorrow and get with you then.	1422630	1471967119246	1471967119350	t	84
2836	29760	I will bring the pillow back tomorrow and get with you then.	I will bring the pillow back tomorrow and get with you then.	1422632	1471967119389	1471967119479	 	32
