PARTICIPANT_ID	TEST_SECTION_ID	SENTENCE	USER_INPUT	KEYSTROKE_ID	PRESS_TIME	RELEASE_TIME	LETTER	KEYCODE
289	2506	South Korea will send two escort destroyers and men for the maneuvers.	South Korea will send two escort destroyers and men for the maneuvers.	121386	1471938825606	1471938825989	SHIFT	16
289	2506	South Korea will send two escort destroyers and men for the maneuvers.	South Korea will send two escort destroyers and men for the maneuvers.	121388	1471938825876	1471938826051	S	83
289	2506	South Korea will send two escort destroyers and men for the maneuvers.	South Korea will send two escort destroyers and men for the maneuvers.	121390	1471938825989	1471938826067	o	79
289	2506	South Korea will send two escort destroyers and men for the maneuvers.	South Korea will send two escort destroyers and men for the maneuvers.	121392	1471938826211	1471938826291	u	85
289	2506	South Korea will send two escort destroyers and men for the maneuvers.	South Korea will send two escort destroyers and men for the maneuvers.	121395	1471938826435	1471938826515	t	84
289	2506	South Korea will send two escort destroyers and men for the maneuvers.	South Korea will send two escort destroyers and men for the maneuvers.	121397	1471938826787	1471938826867	h	72
289	2506	South Korea will send two escort destroyers and men for the maneuvers.	South Korea will send two escort destroyers and men for the maneuvers.	121445	1471938827156	1471938827219	 	32
289	2506	South Korea will send two escort destroyers and men for the maneuvers.	South Korea will send two escort destroyers and men for the maneuvers.	121448	1471938827427	1471938827652	SHIFT	16
289	2506	South Korea will send two escort destroyers and men for the maneuvers.	South Korea will send two escort destroyers and men for the maneuvers.	121451	1471938827571	1471938827652	K	75
289	2506	South Korea will send two escort destroyers and men for the maneuvers.	South Korea will send two escort destroyers and men for the maneuvers.	121454	1471938827779	1471938827875	o	79
289	2506	South Korea will send two escort destroyers and men for the maneuvers.	South Korea will send two escort destroyers and men for the maneuvers.	121457	1471938827955	1471938828052	r	82
289	2506	South Korea will send two escort destroyers and men for the maneuvers.	South Korea will send two escort destroyers and men for the maneuvers.	121460	1471938828195	1471938828339	e	69
289	2506	South Korea will send two escort destroyers and men for the maneuvers.	South Korea will send two escort destroyers and men for the maneuvers.	121481	1471938828483	1471938828611	a	65
289	2506	South Korea will send two escort destroyers and men for the maneuvers.	South Korea will send two escort destroyers and men for the maneuvers.	121483	1471938828627	1471938828739	 	32
289	2506	South Korea will send two escort destroyers and men for the maneuvers.	South Korea will send two escort destroyers and men for the maneuvers.	121485	1471938828915	1471938829059	w	87
289	2506	South Korea will send two escort destroyers and men for the maneuvers.	South Korea will send two escort destroyers and men for the maneuvers.	121487	1471938829075	1471938829156	i	73
289	2506	South Korea will send two escort destroyers and men for the maneuvers.	South Korea will send two escort destroyers and men for the maneuvers.	121488	1471938829300	1471938829347	l	76
289	2506	South Korea will send two escort destroyers and men for the maneuvers.	South Korea will send two escort destroyers and men for the maneuvers.	121519	1471938829444	1471938829491	l	76
289	2506	South Korea will send two escort destroyers and men for the maneuvers.	South Korea will send two escort destroyers and men for the maneuvers.	121521	1471938829635	1471938829699	 	32
289	2506	South Korea will send two escort destroyers and men for the maneuvers.	South Korea will send two escort destroyers and men for the maneuvers.	121523	1471938829747	1471938829827	s	83
289	2506	South Korea will send two escort destroyers and men for the maneuvers.	South Korea will send two escort destroyers and men for the maneuvers.	121525	1471938829971	1471938830099	e	69
289	2506	South Korea will send two escort destroyers and men for the maneuvers.	South Korea will send two escort destroyers and men for the maneuvers.	121527	1471938830115	1471938830227	n	78
289	2506	South Korea will send two escort destroyers and men for the maneuvers.	South Korea will send two escort destroyers and men for the maneuvers.	121555	1471938830643	1471938830771	d	68
289	2506	South Korea will send two escort destroyers and men for the maneuvers.	South Korea will send two escort destroyers and men for the maneuvers.	121557	1471938830867	1471938830947	 	32
289	2506	South Korea will send two escort destroyers and men for the maneuvers.	South Korea will send two escort destroyers and men for the maneuvers.	121559	1471938831315	1471938831428	t	84
289	2506	South Korea will send two escort destroyers and men for the maneuvers.	South Korea will send two escort destroyers and men for the maneuvers.	121561	1471938831763	1471938831875	w	87
289	2506	South Korea will send two escort destroyers and men for the maneuvers.	South Korea will send two escort destroyers and men for the maneuvers.	121563	1471938831939	1471938832019	o	79
289	2506	South Korea will send two escort destroyers and men for the maneuvers.	South Korea will send two escort destroyers and men for the maneuvers.	121590	1471938832163	1471938832243	 	32
